"File created on Friday, 18th November 2022.",,,,,,,,,,,,,,,,,,,,,,,,,,
This information is provided as is. Please let us know of any mistakes or inaccuracies.,,,,,,,,,,,,,,,,,,,,,,,,,,
Question Name:,URL:,Book Name?,Master Maths?,Replaced?,Subject(s):,Field(s):,Topic(s):,Number of Parts:,1st Stage:,1st Difficulty:,2nd Stage:,2nd Difficulty:,Contains Show/Hide Q?,Contains Single Choice Q?,Contains Multiple Choice Q?,Contains Numeric Q?,Contains Symbolic Q?,Contains Symbolic Chemistry Q?,Contains Cloze Text Q?,Contains Reorder Items Q?,Contains Graph Sketching Q?,Has Video?,Has Diagram?,Related Questions:,Related Concepts:,Notes:
Essential Pre-Uni Physics D4.5,https://isaacphysics.org/questions/phys19_d4_q5,A Level Physics (3rd Edition),N,,Physics,Waves & Particles,Superposition,1,A Level,Challenge 2,-,-,N,N,N,Y,N,N,N,N,N,Y,N,"Essential Pre-Uni Physics D4.1, Essential Pre-Uni Physics D4.2, Essential Pre-Uni Physics D4.3, Essential Pre-Uni Physics D4.4, Essential Pre-Uni Physics D4.6",,
Essential Pre-Uni Physics D4.6,https://isaacphysics.org/questions/phys19_d4_q6,A Level Physics (3rd Edition),N,,Physics,Waves & Particles,Superposition,1,A Level,Practice 2,-,-,N,N,N,Y,N,N,N,N,N,Y,N,"Essential Pre-Uni Physics D4.1, Essential Pre-Uni Physics D4.2, Essential Pre-Uni Physics D4.3, Essential Pre-Uni Physics D4.4, Essential Pre-Uni Physics D4.5",,
Essential Pre-Uni Physics D5.1,https://isaacphysics.org/questions/phys19_d5_q1,A Level Physics (3rd Edition),N,,Physics,Waves & Particles,Superposition,2,A Level,Practice 2,-,-,N,Y,N,N,N,N,N,N,N,Y,N,"Essential Pre-Uni Physics D5.2, Essential Pre-Uni Physics D5.3, Essential Pre-Uni Physics D5.4, Essential Pre-Uni Physics D5.5, Essential Pre-Uni Physics D5.6, Essential Pre-Uni Physics D5.7, Essential Pre-Uni Physics D5.8",,
Essential Pre-Uni Physics D5.2,https://isaacphysics.org/questions/phys19_d5_q2,A Level Physics (3rd Edition),N,,Physics,Waves & Particles,Superposition,2,A Level,Practice 2,-,-,N,Y,N,Y,N,N,N,N,N,Y,N,"Essential Pre-Uni Physics D5.1, Essential Pre-Uni Physics D5.3, Essential Pre-Uni Physics D5.4, Essential Pre-Uni Physics D5.5, Essential Pre-Uni Physics D5.6, Essential Pre-Uni Physics D5.7, Essential Pre-Uni Physics D5.8",,
Essential Pre-Uni Physics D5.3,https://isaacphysics.org/questions/phys19_d5_q3,A Level Physics (3rd Edition),N,,Physics,Waves & Particles,Superposition,2,A Level,Practice 2,-,-,N,Y,N,Y,N,N,N,N,N,Y,N,"Essential Pre-Uni Physics D5.1, Essential Pre-Uni Physics D5.2, Essential Pre-Uni Physics D5.4, Essential Pre-Uni Physics D5.5, Essential Pre-Uni Physics D5.6, Essential Pre-Uni Physics D5.7, Essential Pre-Uni Physics D5.8",,
Essential Pre-Uni Physics D5.4,https://isaacphysics.org/questions/phys19_d5_q4,A Level Physics (3rd Edition),N,,Physics,Waves & Particles,Superposition,1,A Level,Practice 2,-,-,N,Y,N,N,N,N,N,N,N,Y,N,"Essential Pre-Uni Physics D5.1, Essential Pre-Uni Physics D5.2, Essential Pre-Uni Physics D5.3, Essential Pre-Uni Physics D5.5, Essential Pre-Uni Physics D5.6, Essential Pre-Uni Physics D5.7, Essential Pre-Uni Physics D5.8",,
Essential Pre-Uni Physics D5.5,https://isaacphysics.org/questions/phys19_d5_q5,A Level Physics (3rd Edition),N,,Physics,Waves & Particles,Superposition,3,A Level,Practice 2,-,-,N,Y,N,Y,N,N,N,N,N,Y,N,"Essential Pre-Uni Physics D5.1, Essential Pre-Uni Physics D5.2, Essential Pre-Uni Physics D5.3, Essential Pre-Uni Physics D5.4, Essential Pre-Uni Physics D5.6, Essential Pre-Uni Physics D5.7, Essential Pre-Uni Physics D5.8",,
Essential Pre-Uni Physics D5.6,https://isaacphysics.org/questions/phys19_d5_q6,A Level Physics (3rd Edition),N,,Physics,Waves & Particles,Superposition,3,A Level,Challenge 2,-,-,N,Y,N,Y,N,N,N,N,N,Y,N,"Essential Pre-Uni Physics D5.1, Essential Pre-Uni Physics D5.2, Essential Pre-Uni Physics D5.3, Essential Pre-Uni Physics D5.4, Essential Pre-Uni Physics D5.5, Essential Pre-Uni Physics D5.7, Essential Pre-Uni Physics D5.8",,
Essential Pre-Uni Physics D5.7,https://isaacphysics.org/questions/phys19_d5_q7,A Level Physics (3rd Edition),N,,Physics,Waves & Particles,Superposition,1,A Level,Practice 2,-,-,N,N,N,Y,N,N,N,N,N,Y,N,"Essential Pre-Uni Physics D5.1, Essential Pre-Uni Physics D5.2, Essential Pre-Uni Physics D5.3, Essential Pre-Uni Physics D5.4, Essential Pre-Uni Physics D5.5, Essential Pre-Uni Physics D5.6, Essential Pre-Uni Physics D5.8",,
Essential Pre-Uni Physics D5.8,https://isaacphysics.org/questions/phys19_d5_q8,A Level Physics (3rd Edition),N,,Physics,Waves & Particles,Superposition,2,A Level,Challenge 2,-,-,N,N,N,Y,N,N,N,N,N,Y,N,"Essential Pre-Uni Physics D5.1, Essential Pre-Uni Physics D5.2, Essential Pre-Uni Physics D5.3, Essential Pre-Uni Physics D5.4, Essential Pre-Uni Physics D5.5, Essential Pre-Uni Physics D5.6, Essential Pre-Uni Physics D5.7",,
Essential Pre-Uni Physics D6.1,https://isaacphysics.org/questions/phys19_d6_q1,A Level Physics (3rd Edition),N,,Physics,Waves & Particles,Quantum,4,A Level,Practice 1,-,-,N,Y,N,Y,N,N,N,N,N,Y,N,"Essential Pre-Uni Physics D6.2, Essential Pre-Uni Physics D6.3, Essential Pre-Uni Physics D6.4, Essential Pre-Uni Physics D6.5, Essential Pre-Uni Physics D6.6",,
Essential Pre-Uni Physics D6.2,https://isaacphysics.org/questions/phys19_d6_q2,A Level Physics (3rd Edition),N,,Physics,Waves & Particles,Quantum,1,A Level,Practice 1,-,-,N,N,N,Y,N,N,N,N,N,Y,N,"Essential Pre-Uni Physics D6.1, Essential Pre-Uni Physics D6.3, Essential Pre-Uni Physics D6.4, Essential Pre-Uni Physics D6.5, Essential Pre-Uni Physics D6.6",,
Essential Pre-Uni Physics D6.3,https://isaacphysics.org/questions/phys19_d6_q3,A Level Physics (3rd Edition),N,,Physics,Waves & Particles,Quantum,1,A Level,Practice 1,-,-,N,N,N,Y,N,N,N,N,N,Y,N,"Essential Pre-Uni Physics D6.1, Essential Pre-Uni Physics D6.2, Essential Pre-Uni Physics D6.4, Essential Pre-Uni Physics D6.5, Essential Pre-Uni Physics D6.6",,
Essential Pre-Uni Physics D6.4,https://isaacphysics.org/questions/phys19_d6_q4,A Level Physics (3rd Edition),N,,Physics,Waves & Particles,Quantum,2,A Level,Challenge 1,-,-,N,N,N,Y,N,N,N,N,N,Y,N,"Essential Pre-Uni Physics D6.1, Essential Pre-Uni Physics D6.2, Essential Pre-Uni Physics D6.3, Essential Pre-Uni Physics D6.5, Essential Pre-Uni Physics D6.6",,
Essential Pre-Uni Physics D6.5,https://isaacphysics.org/questions/phys19_d6_q5,A Level Physics (3rd Edition),N,,Physics,Waves & Particles,Quantum,7,A Level,Practice 1,-,-,N,Y,N,N,N,N,N,N,N,Y,N,"Essential Pre-Uni Physics D6.1, Essential Pre-Uni Physics D6.2, Essential Pre-Uni Physics D6.3, Essential Pre-Uni Physics D6.4, Essential Pre-Uni Physics D6.6",,
Essential Pre-Uni Physics D6.6,https://isaacphysics.org/questions/phys19_d6_q6,A Level Physics (3rd Edition),N,,Physics,Waves & Particles,Quantum,1,A Level,Practice 1,-,-,N,N,N,Y,N,N,N,N,N,Y,N,"Essential Pre-Uni Physics D6.1, Essential Pre-Uni Physics D6.2, Essential Pre-Uni Physics D6.3, Essential Pre-Uni Physics D6.4, Essential Pre-Uni Physics D6.5",,
Essential Pre-Uni Physics D7.1,https://isaacphysics.org/questions/phys19_d7_q1,A Level Physics (3rd Edition),N,,Physics,Waves & Particles,Quantum,6,A Level,Practice 1,-,-,N,N,N,Y,N,N,N,N,N,Y,N,"Essential Pre-Uni Physics D7.2, Essential Pre-Uni Physics D7.3, Essential Pre-Uni Physics D7.4, Essential Pre-Uni Physics D7.5, Essential Pre-Uni Physics D7.6, Essential Pre-Uni Physics D7.7, Essential Pre-Uni Physics D7.8, Essential Pre-Uni Physics D7.9",,
Essential Pre-Uni Physics D7.2,https://isaacphysics.org/questions/phys19_d7_q2,A Level Physics (3rd Edition),N,,Physics,Waves & Particles,Quantum,1,A Level,Practice 1,-,-,N,N,N,Y,N,N,N,N,N,Y,N,"Essential Pre-Uni Physics D7.1, Essential Pre-Uni Physics D7.3, Essential Pre-Uni Physics D7.4, Essential Pre-Uni Physics D7.5, Essential Pre-Uni Physics D7.6, Essential Pre-Uni Physics D7.7, Essential Pre-Uni Physics D7.8, Essential Pre-Uni Physics D7.9",,
Essential Pre-Uni Physics D7.3,https://isaacphysics.org/questions/phys19_d7_q3,A Level Physics (3rd Edition),N,,Physics,Waves & Particles,Quantum,1,A Level,Practice 1,-,-,N,N,N,Y,N,N,N,N,N,Y,N,"Essential Pre-Uni Physics D7.1, Essential Pre-Uni Physics D7.2, Essential Pre-Uni Physics D7.4, Essential Pre-Uni Physics D7.5, Essential Pre-Uni Physics D7.6, Essential Pre-Uni Physics D7.7, Essential Pre-Uni Physics D7.8, Essential Pre-Uni Physics D7.9",,
Essential Pre-Uni Physics D7.4,https://isaacphysics.org/questions/phys19_d7_q4,A Level Physics (3rd Edition),N,,Physics,Waves & Particles,Quantum,2,A Level,Practice 1,-,-,N,N,N,Y,N,N,N,N,N,Y,N,"Essential Pre-Uni Physics D7.1, Essential Pre-Uni Physics D7.2, Essential Pre-Uni Physics D7.3, Essential Pre-Uni Physics D7.5, Essential Pre-Uni Physics D7.6, Essential Pre-Uni Physics D7.7, Essential Pre-Uni Physics D7.8, Essential Pre-Uni Physics D7.9",,
Essential Pre-Uni Physics D7.5,https://isaacphysics.org/questions/phys19_d7_q5,A Level Physics (3rd Edition),N,,Physics,Waves & Particles,Quantum,2,A Level,Practice 1,-,-,N,N,N,Y,N,N,N,N,N,Y,N,"Essential Pre-Uni Physics D7.1, Essential Pre-Uni Physics D7.2, Essential Pre-Uni Physics D7.3, Essential Pre-Uni Physics D7.4, Essential Pre-Uni Physics D7.6, Essential Pre-Uni Physics D7.7, Essential Pre-Uni Physics D7.8, Essential Pre-Uni Physics D7.9",,
Essential Pre-Uni Physics D7.6,https://isaacphysics.org/questions/phys19_d7_q6,A Level Physics (3rd Edition),N,,Physics,Waves & Particles,Quantum,2,A Level,Practice 1,-,-,N,N,N,Y,N,N,N,N,N,Y,N,"Essential Pre-Uni Physics D7.1, Essential Pre-Uni Physics D7.2, Essential Pre-Uni Physics D7.3, Essential Pre-Uni Physics D7.4, Essential Pre-Uni Physics D7.5, Essential Pre-Uni Physics D7.7, Essential Pre-Uni Physics D7.8, Essential Pre-Uni Physics D7.9",,
Essential Pre-Uni Physics D7.7,https://isaacphysics.org/questions/phys19_d7_q7,A Level Physics (3rd Edition),N,,Physics,Waves & Particles,Quantum,2,A Level,Challenge 1,-,-,N,N,N,Y,N,N,N,N,N,Y,N,"Essential Pre-Uni Physics D7.1, Essential Pre-Uni Physics D7.2, Essential Pre-Uni Physics D7.3, Essential Pre-Uni Physics D7.4, Essential Pre-Uni Physics D7.5, Essential Pre-Uni Physics D7.6, Essential Pre-Uni Physics D7.8, Essential Pre-Uni Physics D7.9",,
Essential Pre-Uni Physics D7.8,https://isaacphysics.org/questions/phys19_d7_q8,A Level Physics (3rd Edition),N,,Physics,Waves & Particles,Quantum,1,A Level,Challenge 1,-,-,N,N,N,Y,N,N,N,N,N,Y,N,"Essential Pre-Uni Physics D7.1, Essential Pre-Uni Physics D7.2, Essential Pre-Uni Physics D7.3, Essential Pre-Uni Physics D7.4, Essential Pre-Uni Physics D7.5, Essential Pre-Uni Physics D7.6, Essential Pre-Uni Physics D7.7, Essential Pre-Uni Physics D7.9",,
Essential Pre-Uni Physics D7.9,https://isaacphysics.org/questions/phys19_d7_q9,A Level Physics (3rd Edition),N,,Physics,Waves & Particles,Quantum,2,A Level,Challenge 1,-,-,N,Y,N,Y,N,N,N,N,N,Y,N,"Essential Pre-Uni Physics D7.1, Essential Pre-Uni Physics D7.2, Essential Pre-Uni Physics D7.3, Essential Pre-Uni Physics D7.4, Essential Pre-Uni Physics D7.5, Essential Pre-Uni Physics D7.6, Essential Pre-Uni Physics D7.7, Essential Pre-Uni Physics D7.8",,
Essential Pre-Uni Physics D8.1,https://isaacphysics.org/questions/phys19_d8_q1,A Level Physics (3rd Edition),N,,Physics,Waves & Particles,Optics,4,A Level,Practice 1,GCSE,Challenge 3,N,N,N,Y,N,N,N,N,N,Y,N,"Essential Pre-Uni Physics D8.2, Essential Pre-Uni Physics D8.3, Essential Pre-Uni Physics D8.4, Essential Pre-Uni Physics D8.5, Essential Pre-Uni Physics D8.6, Essential Pre-Uni Physics D8.7, Essential Pre-Uni Physics D8.8, Essential Pre-Uni Physics D8.9",,
Essential Pre-Uni Physics D8.2,https://isaacphysics.org/questions/phys19_d8_q2,A Level Physics (3rd Edition),N,,Physics,Waves & Particles,Optics,3,A Level,Practice 1,GCSE,Challenge 3,N,N,N,Y,N,N,N,N,N,Y,N,"Essential Pre-Uni Physics D8.1, Essential Pre-Uni Physics D8.3, Essential Pre-Uni Physics D8.4, Essential Pre-Uni Physics D8.5, Essential Pre-Uni Physics D8.6, Essential Pre-Uni Physics D8.7, Essential Pre-Uni Physics D8.8, Essential Pre-Uni Physics D8.9",,
Essential Pre-Uni Physics D8.3,https://isaacphysics.org/questions/phys19_d8_q3,A Level Physics (3rd Edition),N,,Physics,Waves & Particles,Optics,2,A Level,Practice 1,GCSE,Challenge 3,N,N,N,Y,N,N,N,N,N,Y,N,"Essential Pre-Uni Physics D8.1, Essential Pre-Uni Physics D8.2, Essential Pre-Uni Physics D8.4, Essential Pre-Uni Physics D8.5, Essential Pre-Uni Physics D8.6, Essential Pre-Uni Physics D8.7, Essential Pre-Uni Physics D8.8, Essential Pre-Uni Physics D8.9",,
Essential Pre-Uni Physics D8.4,https://isaacphysics.org/questions/phys19_d8_q4,A Level Physics (3rd Edition),N,,Physics,Waves & Particles,Optics,5,A Level,Practice 1,GCSE,Challenge 3,N,N,N,Y,N,N,N,N,N,Y,N,"Essential Pre-Uni Physics D8.1, Essential Pre-Uni Physics D8.2, Essential Pre-Uni Physics D8.3, Essential Pre-Uni Physics D8.5, Essential Pre-Uni Physics D8.6, Essential Pre-Uni Physics D8.7, Essential Pre-Uni Physics D8.8, Essential Pre-Uni Physics D8.9",,
Essential Pre-Uni Physics D8.5,https://isaacphysics.org/questions/phys19_d8_q5,A Level Physics (3rd Edition),N,,Physics,Waves & Particles,Optics,2,A Level,Practice 1,GCSE,Challenge 3,N,N,N,Y,N,N,N,N,N,Y,N,"Essential Pre-Uni Physics D8.1, Essential Pre-Uni Physics D8.2, Essential Pre-Uni Physics D8.3, Essential Pre-Uni Physics D8.4, Essential Pre-Uni Physics D8.6, Essential Pre-Uni Physics D8.7, Essential Pre-Uni Physics D8.8, Essential Pre-Uni Physics D8.9",,
Essential Pre-Uni Physics D8.6,https://isaacphysics.org/questions/phys19_d8_q6,A Level Physics (3rd Edition),N,,Physics,Waves & Particles,Optics,2,A Level,Practice 1,GCSE,Challenge 3,N,N,N,Y,N,N,N,N,N,Y,N,"Essential Pre-Uni Physics D8.1, Essential Pre-Uni Physics D8.2, Essential Pre-Uni Physics D8.3, Essential Pre-Uni Physics D8.4, Essential Pre-Uni Physics D8.5, Essential Pre-Uni Physics D8.7, Essential Pre-Uni Physics D8.8, Essential Pre-Uni Physics D8.9",,
Essential Pre-Uni Physics D8.7,https://isaacphysics.org/questions/phys19_d8_q7,A Level Physics (3rd Edition),N,,Physics,Waves & Particles,Optics,2,A Level,Practice 1,GCSE,Challenge 3,N,N,N,Y,N,N,N,N,N,Y,N,"Essential Pre-Uni Physics D8.1, Essential Pre-Uni Physics D8.2, Essential Pre-Uni Physics D8.3, Essential Pre-Uni Physics D8.4, Essential Pre-Uni Physics D8.5, Essential Pre-Uni Physics D8.6, Essential Pre-Uni Physics D8.8, Essential Pre-Uni Physics D8.9",,
Essential Pre-Uni Physics D8.8,https://isaacphysics.org/questions/phys19_d8_q8,A Level Physics (3rd Edition),N,,Physics,Waves & Particles,Optics,1,A Level,Practice 1,GCSE,Challenge 3,N,N,N,Y,N,N,N,N,N,Y,N,"Essential Pre-Uni Physics D8.1, Essential Pre-Uni Physics D8.2, Essential Pre-Uni Physics D8.3, Essential Pre-Uni Physics D8.4, Essential Pre-Uni Physics D8.5, Essential Pre-Uni Physics D8.6, Essential Pre-Uni Physics D8.7, Essential Pre-Uni Physics D8.9",,
Essential Pre-Uni Physics D8.9,https://isaacphysics.org/questions/phys19_d8_q9,A Level Physics (3rd Edition),N,,Physics,Waves & Particles,Optics,1,A Level,Practice 1,GCSE,Challenge 3,N,N,N,Y,N,N,N,N,N,Y,N,"Essential Pre-Uni Physics D8.1, Essential Pre-Uni Physics D8.2, Essential Pre-Uni Physics D8.3, Essential Pre-Uni Physics D8.4, Essential Pre-Uni Physics D8.5, Essential Pre-Uni Physics D8.6, Essential Pre-Uni Physics D8.7, Essential Pre-Uni Physics D8.8",,
Essential Pre-Uni Physics D9.1,https://isaacphysics.org/questions/phys19_d9_q1,A Level Physics (3rd Edition),N,,Physics,Waves & Particles,Quantum,1,A Level,Practice 1,-,-,N,N,N,Y,N,N,N,N,N,Y,N,"Essential Pre-Uni Physics D9.2, Essential Pre-Uni Physics D9.3, Essential Pre-Uni Physics D9.4, Essential Pre-Uni Physics D9.5, Essential Pre-Uni Physics D9.6, Essential Pre-Uni Physics D9.7, Essential Pre-Uni Physics D9.8",,
Essential Pre-Uni Physics D9.2,https://isaacphysics.org/questions/phys19_d9_q2,A Level Physics (3rd Edition),N,,Physics,Waves & Particles,Quantum,1,A Level,Practice 1,-,-,N,N,N,Y,N,N,N,N,N,Y,N,"Essential Pre-Uni Physics D9.1, Essential Pre-Uni Physics D9.3, Essential Pre-Uni Physics D9.4, Essential Pre-Uni Physics D9.5, Essential Pre-Uni Physics D9.6, Essential Pre-Uni Physics D9.7, Essential Pre-Uni Physics D9.8",,
Essential Pre-Uni Physics D9.3,https://isaacphysics.org/questions/phys19_d9_q3,A Level Physics (3rd Edition),N,,Physics,Waves & Particles,Quantum,1,A Level,Practice 1,-,-,N,N,N,Y,N,N,N,N,N,Y,N,"Essential Pre-Uni Physics D9.1, Essential Pre-Uni Physics D9.2, Essential Pre-Uni Physics D9.4, Essential Pre-Uni Physics D9.5, Essential Pre-Uni Physics D9.6, Essential Pre-Uni Physics D9.7, Essential Pre-Uni Physics D9.8",,
Essential Pre-Uni Physics D9.4,https://isaacphysics.org/questions/phys19_d9_q4,A Level Physics (3rd Edition),N,,Physics,Waves & Particles,Quantum,1,A Level,Practice 1,-,-,N,N,N,Y,N,N,N,N,N,Y,N,"Essential Pre-Uni Physics D9.1, Essential Pre-Uni Physics D9.2, Essential Pre-Uni Physics D9.3, Essential Pre-Uni Physics D9.5, Essential Pre-Uni Physics D9.6, Essential Pre-Uni Physics D9.7, Essential Pre-Uni Physics D9.8",,
Essential Pre-Uni Physics D9.5,https://isaacphysics.org/questions/phys19_d9_q5,A Level Physics (3rd Edition),N,,Physics,Waves & Particles,Quantum,3,A Level,Challenge 1,-,-,N,N,N,Y,N,N,N,N,N,Y,N,"Essential Pre-Uni Physics D9.1, Essential Pre-Uni Physics D9.2, Essential Pre-Uni Physics D9.3, Essential Pre-Uni Physics D9.4, Essential Pre-Uni Physics D9.6, Essential Pre-Uni Physics D9.7, Essential Pre-Uni Physics D9.8",,
Essential Pre-Uni Physics D9.6,https://isaacphysics.org/questions/phys19_d9_q6,A Level Physics (3rd Edition),N,,Physics,Waves & Particles,Quantum,2,A Level,Practice 1,-,-,N,N,N,Y,N,N,N,N,N,Y,N,"Essential Pre-Uni Physics D9.1, Essential Pre-Uni Physics D9.2, Essential Pre-Uni Physics D9.3, Essential Pre-Uni Physics D9.4, Essential Pre-Uni Physics D9.5, Essential Pre-Uni Physics D9.7, Essential Pre-Uni Physics D9.8",,
Essential Pre-Uni Physics D9.7,https://isaacphysics.org/questions/phys19_d9_q7,A Level Physics (3rd Edition),N,,Physics,Waves & Particles,Quantum,2,A Level,Challenge 1,-,-,N,N,N,Y,N,N,N,N,N,Y,N,"Essential Pre-Uni Physics D9.1, Essential Pre-Uni Physics D9.2, Essential Pre-Uni Physics D9.3, Essential Pre-Uni Physics D9.4, Essential Pre-Uni Physics D9.5, Essential Pre-Uni Physics D9.6, Essential Pre-Uni Physics D9.8",,
Essential Pre-Uni Physics D9.8,https://isaacphysics.org/questions/phys19_d9_q8,A Level Physics (3rd Edition),N,,Physics,Waves & Particles,Quantum,1,A Level,Challenge 1,-,-,N,Y,N,N,N,N,N,N,N,Y,N,"Essential Pre-Uni Physics D9.1, Essential Pre-Uni Physics D9.2, Essential Pre-Uni Physics D9.3, Essential Pre-Uni Physics D9.4, Essential Pre-Uni Physics D9.5, Essential Pre-Uni Physics D9.6, Essential Pre-Uni Physics D9.7",,
Essential Pre-Uni Physics E1.1,https://isaacphysics.org/questions/phys19_e1_q1,A Level Physics (3rd Edition),N,,Physics,Skills,Uncertainties,3,A Level,Practice 1,-,-,N,Y,N,Y,N,N,N,N,N,Y,N,"Essential Pre-Uni Physics E1.2, Essential Pre-Uni Physics E1.3, Essential Pre-Uni Physics E1.4, Essential Pre-Uni Physics E1.5, Essential Pre-Uni Physics E1.6, Essential Pre-Uni Physics E1.7, Essential Pre-Uni Physics E1.8, Essential Pre-Uni Physics E1.9",,
Essential Pre-Uni Physics E1.2,https://isaacphysics.org/questions/phys19_e1_q2,A Level Physics (3rd Edition),N,,Physics,Skills,Uncertainties,3,A Level,Practice 1,-,-,N,Y,N,Y,N,N,N,N,N,Y,N,"Essential Pre-Uni Physics E1.1, Essential Pre-Uni Physics E1.3, Essential Pre-Uni Physics E1.4, Essential Pre-Uni Physics E1.5, Essential Pre-Uni Physics E1.6, Essential Pre-Uni Physics E1.7, Essential Pre-Uni Physics E1.8, Essential Pre-Uni Physics E1.9",,
Essential Pre-Uni Physics E1.3,https://isaacphysics.org/questions/phys19_e1_q3,A Level Physics (3rd Edition),N,,Physics,Skills,Uncertainties,3,A Level,Practice 1,-,-,N,Y,N,Y,N,N,N,N,N,Y,N,"Essential Pre-Uni Physics E1.1, Essential Pre-Uni Physics E1.2, Essential Pre-Uni Physics E1.4, Essential Pre-Uni Physics E1.5, Essential Pre-Uni Physics E1.6, Essential Pre-Uni Physics E1.7, Essential Pre-Uni Physics E1.8, Essential Pre-Uni Physics E1.9",,
Essential Pre-Uni Physics E1.4,https://isaacphysics.org/questions/phys19_e1_q4,A Level Physics (3rd Edition),N,,Physics,Skills,Uncertainties,3,A Level,Practice 1,-,-,N,Y,N,Y,N,N,N,N,N,Y,N,"Essential Pre-Uni Physics E1.1, Essential Pre-Uni Physics E1.2, Essential Pre-Uni Physics E1.3, Essential Pre-Uni Physics E1.5, Essential Pre-Uni Physics E1.6, Essential Pre-Uni Physics E1.7, Essential Pre-Uni Physics E1.8, Essential Pre-Uni Physics E1.9",,
Essential Pre-Uni Physics E1.5,https://isaacphysics.org/questions/phys19_e1_q5,A Level Physics (3rd Edition),N,,Physics,Skills,Uncertainties,1,A Level,Practice 1,-,-,N,N,N,Y,N,N,N,N,N,Y,N,"Essential Pre-Uni Physics E1.1, Essential Pre-Uni Physics E1.2, Essential Pre-Uni Physics E1.3, Essential Pre-Uni Physics E1.4, Essential Pre-Uni Physics E1.6, Essential Pre-Uni Physics E1.7, Essential Pre-Uni Physics E1.8, Essential Pre-Uni Physics E1.9",,
Essential Pre-Uni Physics E1.6,https://isaacphysics.org/questions/phys19_e1_q6,A Level Physics (3rd Edition),N,,Physics,Skills,Uncertainties,1,A Level,Practice 1,-,-,N,Y,N,N,N,N,N,N,N,Y,N,"Essential Pre-Uni Physics E1.1, Essential Pre-Uni Physics E1.2, Essential Pre-Uni Physics E1.3, Essential Pre-Uni Physics E1.4, Essential Pre-Uni Physics E1.5, Essential Pre-Uni Physics E1.7, Essential Pre-Uni Physics E1.8, Essential Pre-Uni Physics E1.9",,
Essential Pre-Uni Physics E1.7,https://isaacphysics.org/questions/phys19_e1_q7,A Level Physics (3rd Edition),N,,Physics,Skills,Uncertainties,1,A Level,Practice 1,-,-,N,Y,N,N,N,N,N,N,N,Y,N,"Essential Pre-Uni Physics E1.1, Essential Pre-Uni Physics E1.2, Essential Pre-Uni Physics E1.3, Essential Pre-Uni Physics E1.4, Essential Pre-Uni Physics E1.5, Essential Pre-Uni Physics E1.6, Essential Pre-Uni Physics E1.8, Essential Pre-Uni Physics E1.9",,
Essential Pre-Uni Physics E1.8,https://isaacphysics.org/questions/phys19_e1_q8,A Level Physics (3rd Edition),N,,Physics,Skills,Uncertainties,1,A Level,Practice 1,-,-,N,Y,N,N,N,N,N,N,N,Y,N,"Essential Pre-Uni Physics E1.1, Essential Pre-Uni Physics E1.2, Essential Pre-Uni Physics E1.3, Essential Pre-Uni Physics E1.4, Essential Pre-Uni Physics E1.5, Essential Pre-Uni Physics E1.6, Essential Pre-Uni Physics E1.7, Essential Pre-Uni Physics E1.9",,
Essential Pre-Uni Physics E1.9,https://isaacphysics.org/questions/phys19_e1_q9,A Level Physics (3rd Edition),N,,Physics,Skills,Uncertainties,1,A Level,Practice 1,-,-,N,Y,N,N,N,N,N,N,N,Y,N,"Essential Pre-Uni Physics E1.1, Essential Pre-Uni Physics E1.2, Essential Pre-Uni Physics E1.3, Essential Pre-Uni Physics E1.4, Essential Pre-Uni Physics E1.5, Essential Pre-Uni Physics E1.6, Essential Pre-Uni Physics E1.7, Essential Pre-Uni Physics E1.8",,
Essential Pre-Uni Physics E2.1,https://isaacphysics.org/questions/phys19_e2_q1,A Level Physics (3rd Edition),N,,Physics,Skills,Uncertainties,5,A Level,Practice 1,-,-,N,N,N,Y,N,N,N,N,N,Y,N,"Essential Pre-Uni Physics E2.2, Essential Pre-Uni Physics E2.3, Essential Pre-Uni Physics E2.4, Essential Pre-Uni Physics E2.5, Essential Pre-Uni Physics E2.6, Essential Pre-Uni Physics E2.7",,
Essential Pre-Uni Physics E2.2,https://isaacphysics.org/questions/phys19_e2_q2,A Level Physics (3rd Edition),N,,Physics,Skills,Uncertainties,2,A Level,Practice 1,-,-,N,Y,N,N,N,N,N,N,N,Y,N,"Essential Pre-Uni Physics E2.1, Essential Pre-Uni Physics E2.3, Essential Pre-Uni Physics E2.4, Essential Pre-Uni Physics E2.5, Essential Pre-Uni Physics E2.6, Essential Pre-Uni Physics E2.7",,
Essential Pre-Uni Physics E2.3,https://isaacphysics.org/questions/phys19_e2_q3,A Level Physics (3rd Edition),N,,Physics,Skills,Uncertainties,1,A Level,Practice 1,-,-,N,N,N,Y,N,N,N,N,N,Y,N,"Essential Pre-Uni Physics E2.1, Essential Pre-Uni Physics E2.2, Essential Pre-Uni Physics E2.4, Essential Pre-Uni Physics E2.5, Essential Pre-Uni Physics E2.6, Essential Pre-Uni Physics E2.7",,
Essential Pre-Uni Physics E2.4,https://isaacphysics.org/questions/phys19_e2_q4,A Level Physics (3rd Edition),N,,Physics,Skills,Uncertainties,1,A Level,Challenge 1,-,-,N,N,N,Y,N,N,N,N,N,Y,N,"Essential Pre-Uni Physics E2.1, Essential Pre-Uni Physics E2.2, Essential Pre-Uni Physics E2.3, Essential Pre-Uni Physics E2.5, Essential Pre-Uni Physics E2.6, Essential Pre-Uni Physics E2.7",,
