"File created on Wednesday, 3rd May 2017.",,,,,,,,,,,,,,,,,,,,,
Question Name,URL:,Replaced?,Book Name,"University Preparation? (FastTrack)",Subject,Level,Field,Topic,Lesson,Pre-made Board,Number of Parts,Contains Show/Hide Q?,Contains Multi Choice Q?,Contains Numeric Q?,Contains Symbolic Q?,Has Hints?,Has Video?,Has Diagram?,Related Concepts,Related Questions,Notes
J2 Activity and Decay,https://isaacphysics.org/questions/ch_j_p2,,Physics A-Level,N,Physics,,,,,,18,N,N,Y,N,N,N,N,,,
J3 Nuclear Decay with Time,https://isaacphysics.org/questions/ch_j_p3,,Physics A-Level,N,Physics,,,,,,22,N,N,Y,N,N,N,N,,,
J4 Energy and Nuclear Reaction,https://isaacphysics.org/questions/ch_j_p4,,Physics A-Level,N,Physics,,,,,,10,N,N,Y,N,N,N,N,,,
K1 Red-shift and Hubble's Law,https://isaacphysics.org/questions/ch_k_p1,,Physics A-Level,N,Physics,,,,,,20,N,N,Y,N,N,N,N,,,
K2 Exponential Extrapolation,https://isaacphysics.org/questions/ch_k_p2,,Physics A-Level,N,Physics,,,,,,10,N,N,Y,N,N,N,N,,,
I1 Charge and Energy Stored on a Capacitor,https://isaacphysics.org/questions/ch-i_p1,,Physics A-Level,N,Physics,,,,,,12,N,N,Y,N,N,N,N,,,
Linear Equations 1,https://isaacphysics.org/questions/rearrange_linear_1,,,N,Maths,1,Algebra,Manipulation,,,2,N,N,N,Y,Y,N,N,Algebraic Manipulation - Rearranging Equations and Units,,
Linear Equations 1,https://isaacphysics.org/questions/rearrange_linear_1_multi,,,N,Maths,1,Algebra,Manipulation,,,2,N,Y,N,N,Y,N,N,Algebraic Manipulation - Rearranging Equations and Units,,
Linear Equations 2,https://isaacphysics.org/questions/rearrange_linear_2,,,N,Maths,1,Algebra,Manipulation,,,3,N,N,N,Y,Y,N,N,Algebraic Manipulation - Rearranging Equations and Units,,
Linear Equations 2,https://isaacphysics.org/questions/rearrange_linear_2_multi,,,N,Maths,1,Algebra,Manipulation,,,3,N,Y,N,N,Y,N,N,Algebraic Manipulation - Rearranging Equations and Units,,
Linear Equations 3,https://isaacphysics.org/questions/rearrange_linear_3,,,N,Maths,1,Algebra,Manipulation,,,2,N,N,N,Y,Y,N,N,Algebraic Manipulation - Rearranging Equations and Units,,
Linear Equations 3,https://isaacphysics.org/questions/rearrange_linear_3_multi,,,N,Maths,1,Algebra,Manipulation,,,2,N,Y,N,N,Y,N,N,Algebraic Manipulation - Rearranging Equations and Units,,
Linear Equations 4,https://isaacphysics.org/questions/rearrange_linear_4,,,N,Maths,1,Algebra,Manipulation,,,2,N,N,N,Y,Y,N,N,Algebraic Manipulation - Rearranging Equations and Units,,
Linear Equations 4,https://isaacphysics.org/questions/rearrange_linear_4_multi,,,N,Maths,1,Algebra,Manipulation,,,2,N,Y,N,N,Y,N,N,Algebraic Manipulation - Rearranging Equations and Units,,
Quadratic Equations 1,https://isaacphysics.org/questions/rearrange_quadratic1,,,N,Maths,1,Algebra,Manipulation,,,2,N,N,N,Y,Y,N,N,Algebraic Manipulation - Rearranging Equations and Units,,
Quadratic Equations 1,https://isaacphysics.org/questions/rearrange_quadratic1_multi,,,N,Maths,1,Algebra,Manipulation,,,2,N,Y,N,N,Y,N,N,Algebraic Manipulation - Rearranging Equations and Units,,
Quadratic Equations 2,https://isaacphysics.org/questions/rearrange_quadratic2,,,N,Maths,1,Algebra,Manipulation,,,1,N,N,N,Y,Y,N,N,Algebraic Manipulation - Rearranging Equations and Units,"A Search Spiral, Maximum Angle Throw, Reaching a Sloping Roof, Stuck in the Mud, Swimming to a Boat, The Michelson-Morley Experiment",
Quadratic Equations 2,https://isaacphysics.org/questions/rearrange_quadratic2_multi,,,N,Maths,1,Algebra,Manipulation,,,1,N,Y,N,N,Y,N,N,Algebraic Manipulation - Rearranging Equations and Units,"Crossing a River, Dropping a Mass on a Windmill, Firing the Rockets, Maximum Angle Throw, Reaching a Sloping Roof",
Reciprocal Equations,https://isaacphysics.org/questions/rearrange_reciprocal1,,,N,Maths,1,Algebra,Manipulation,,,2,N,N,N,Y,Y,N,N,Algebraic Manipulation - Rearranging Equations and Units,"Destroying the Moon, Firing the Rockets",
Reciprocal Equations,https://isaacphysics.org/questions/rearrange_reciprocal1_multi,,,N,Maths,1,Algebra,Manipulation,,,2,N,Y,N,N,Y,N,N,Algebraic Manipulation - Rearranging Equations and Units,"Force of a Bouncing Ball, Inelastic and Elastic Collisions, Superball",
SUVAT 1,https://isaacphysics.org/questions/rearrange_suvat1,,,N,Maths,1,Algebra,Manipulation,,,4,N,N,N,Y,Y,N,N,Algebraic Manipulation - Rearranging Equations and Units,"Angle of a Chip in Golf, Broken Cannon, Crossing a River, Reaching a Sloping Roof, Stuck in the Mud",
SUVAT 1,https://isaacphysics.org/questions/rearrange_suvat1_multi,,,N,Maths,1,Algebra,Manipulation,,,4,N,Y,N,N,Y,N,N,Algebraic Manipulation - Rearranging Equations and Units,"Broken Cannon, Crossing a River, Maximum Angle Throw, Stuck in the Mud, The Bouncing Ball, Throwing a Ball up a Flat Slope",
SUVAT 2,https://isaacphysics.org/questions/rearrange_suvat2_multi,,,N,Maths,1,Algebra,Manipulation,,,4,N,Y,N,N,Y,N,N,Algebraic Manipulation - Rearranging Equations and Units,"Broken Cannon, Maximum Angle Throw, Target Practice",
Trigonometric Functions,https://isaacphysics.org/questions/rearrange_trig1,,,N,Maths,1,Algebra,Manipulation,,,2,N,N,N,Y,Y,N,N,Algebraic Manipulation - Rearranging Equations and Units,"Swimming to a Boat, Triangular Flying Course",
Trigonometric Functions,https://isaacphysics.org/questions/rearrange_trig1_multi,,,N,Maths,1,Algebra,Manipulation,,,2,N,Y,N,N,Y,N,N,Algebraic Manipulation - Rearranging Equations and Units,"Broken Cannon, Building a Tennis Court, Crossing a River, Lunar Landing",
Charge Flowing,https://isaacphysics.org/questions/value_units_charge,,,N,Maths,1,Algebra,Manipulation,,,1,N,N,Y,N,Y,N,N,Algebraic Manipulation - Rearranging Equations and Units,Finger Balance,
Density of Air,https://isaacphysics.org/questions/value_units_density,,,N,Maths,1,Algebra,Manipulation,,,1,N,N,Y,N,Y,N,N,Algebraic Manipulation - Rearranging Equations and Units,"Climbing up a Corner, Festival Banner, Prism",
Breakdown Field Strength,https://isaacphysics.org/questions/value_units_Efield,,,N,Maths,1,Algebra,Manipulation,,,1,N,N,Y,N,Y,N,N,Algebraic Manipulation - Rearranging Equations and Units,"Camera Lens, Cat's Eye, Changing Perspective, Collecting Light in a Funnel, Compound Microscope, Corner Retroreflector, Illuminated Pond, Moving Object, Multiple Reflections in a Wedge, Objects and Images, Off the Optical Axis, Patch of Light, Seeing Double, Through the Looking Glass, Triple Trouble, Two Lens Microscope, Walking past a window",
Forces 1,https://isaacphysics.org/questions/value_units_forces1,,,N,Maths,1,Algebra,Manipulation,,,1,N,N,Y,N,Y,N,N,Algebraic Manipulation - Rearranging Equations and Units,,
Forces 2,https://isaacphysics.org/questions/value_units_forces2,,,N,Maths,1,Algebra,Manipulation,,,1,N,N,Y,N,Y,N,N,Algebraic Manipulation - Rearranging Equations and Units,,
Number Density in a Gas,https://isaacphysics.org/questions/value_units_gas_density,,,N,Maths,1,Algebra,Manipulation,,,1,N,N,Y,N,Y,N,N,Algebraic Manipulation - Rearranging Equations and Units,"A Ballistic Pendulum, A Hailstorm, Falling Chain, Test Rocket, The Javelin Thrower",
Kinematics 1,https://isaacphysics.org/questions/value_units_kinematics1,,,N,Maths,1,Algebra,Manipulation,,,1,N,N,Y,N,Y,N,N,Algebraic Manipulation - Rearranging Equations and Units,,
Kinematics 2,https://isaacphysics.org/questions/value_units_kinematics2,,,N,Maths,1,Algebra,Manipulation,,,1,N,N,Y,N,Y,N,N,Algebraic Manipulation - Rearranging Equations and Units,,
Mass of Block,https://isaacphysics.org/questions/value_units_mass,,,N,Maths,1,Algebra,Manipulation,,,1,N,N,Y,N,Y,N,N,Algebraic Manipulation - Rearranging Equations and Units,,
Momentum,https://isaacphysics.org/questions/value_units_momentum1,,,N,Maths,1,Algebra,Manipulation,,,1,N,N,Y,N,Y,N,N,Algebraic Manipulation - Rearranging Equations and Units,,
Voltage across a Resistor,https://isaacphysics.org/questions/value_units_voltage,,,N,Maths,1,Algebra,Manipulation,,,1,N,N,Y,N,Y,N,N,Algebraic Manipulation - Rearranging Equations and Units,,
Introducing Dimensional Analysis,https://isaacphysics.org/questions/algebra_level2_dimensions,,,N,Maths,2,Algebra,Manipulation,,,2,N,N,N,Y,Y,N,N,,,
Simplifying indices,https://isaacphysics.org/questions/algebra_level2_indices_2,,,N,Maths,2,Algebra,Manipulation,,,3,N,N,N,Y,Y,N,N,,,
Inequalities 1,https://isaacphysics.org/questions/algebra_level2_ineq_1,,,N,Maths,2,Algebra,Manipulation,,,2,N,N,N,Y,Y,N,N,Algebraic Manipulation - Inequalities,,
Inequalities 2,https://isaacphysics.org/questions/algebra_level2_ineq_2,,,N,Maths,2,Algebra,Manipulation,,,2,N,N,N,Y,Y,N,N,Algebraic Manipulation - Inequalities,"Moments of Inertia, Moments of Inertia",
Quadratic inequalities,https://isaacphysics.org/questions/algebra_level2_ineq_3,,,N,Maths,2,Algebra,Manipulation,,,6,N,Y,N,Y,Y,N,N,Algebraic Manipulation - Quadratic Inequalities,,
Condition for damping,https://isaacphysics.org/questions/algebra_level2_ineq_4,,,N,Maths,2,Algebra,Manipulation,,,1,N,N,N,Y,Y,N,N,Algebraic Manipulation - Inequalities,,
Escape from a planet,https://isaacphysics.org/questions/algebra_level2_ineq_5,,,N,Maths,2,Algebra,Manipulation,,,2,N,N,N,Y,Y,N,N,Algebraic Manipulation - Inequalities,,
Rationalisation,https://isaacphysics.org/questions/algebra_level2_surds_1,,,N,Maths,2,Algebra,Manipulation,,,2,N,N,N,Y,Y,N,N,,,
Simplifying surds,https://isaacphysics.org/questions/algebra_level2_surds_2,,,N,Maths,2,Algebra,Manipulation,,,2,N,N,N,Y,Y,N,N,,,
Factorise 1,https://isaacphysics.org/questions/factorise_1,,,N,Maths,1,Algebra,Quadratics,,,2,N,N,N,Y,Y,N,N,Quadratic Equations,,
Factorise 1,https://isaacphysics.org/questions/factorise_1_num,,,N,Maths,1,Algebra,Quadratics,,,1,N,N,Y,N,Y,N,N,Quadratic Equations,,
Factorise 2,https://isaacphysics.org/questions/factorise_2,,,N,Maths,1,Algebra,Quadratics,,,2,N,N,N,Y,Y,N,N,Quadratic Equations,,
Factorise 2,https://isaacphysics.org/questions/factorise_2_num,,,N,Maths,1,Algebra,Quadratics,,,1,N,N,Y,N,Y,N,N,Quadratic Equations,,
Factorise 3,https://isaacphysics.org/questions/factorise_3,,,N,Maths,1,Algebra,Quadratics,,,2,N,N,N,Y,Y,N,N,Quadratic Equations,,
Factorise 3,https://isaacphysics.org/questions/factorise_3_num,,,N,Maths,1,Algebra,Quadratics,,,1,N,N,Y,N,Y,N,N,Quadratic Equations,,
Factorise 4,https://isaacphysics.org/questions/factorise_4,,,N,Maths,1,Algebra,Quadratics,,,2,N,N,N,Y,Y,N,N,Quadratic Equations,,
Factorise 4,https://isaacphysics.org/questions/factorise_4_num,,,N,Maths,1,Algebra,Quadratics,,,1,N,N,Y,N,Y,N,N,Quadratic Equations,,
Factorise 5,https://isaacphysics.org/questions/factorise_5_num,,,N,Maths,1,Algebra,Quadratics,,,1,N,N,Y,N,Y,N,N,Quadratic Equations,,
Factorise 5,https://isaacphysics.org/questions/factorise5_new,,,N,Maths,1,Algebra,Quadratics,,,4,N,N,Y,Y,Y,N,N,"Algebraic Manipulation - Rearranging Equations and Units, Quadratic Equations",,
Quadratic Equations 1,https://isaacphysics.org/questions/quadratic_formula_1_num,,,N,Maths,1,Algebra,Quadratics,,,1,N,N,Y,N,Y,N,N,Quadratic Equations,,
Quadratic Equations 2,https://isaacphysics.org/questions/quadratic_formula_2_num,,,N,Maths,1,Algebra,Quadratics,,,1,N,N,Y,N,Y,N,N,Quadratic Equations,"Discs on a Table, Dropping a Mass on a Windmill, Moments of Inertia, Sphere Versus Cylinder",
Quadratic Equations 3,https://isaacphysics.org/questions/quadratic_formula_3_num,,,N,Maths,1,Algebra,Quadratics,,,1,N,N,Y,N,Y,N,N,Quadratic Equations,,
Quadratic Equations 4,https://isaacphysics.org/questions/quadratic_formula_4_num,,,N,Maths,1,Algebra,Quadratics,,,1,N,N,Y,N,Y,N,N,Quadratic Equations,,
Quadratic Equations 5,https://isaacphysics.org/questions/quadratic_formula_5,,,N,Maths,1,Algebra,Quadratics,,,2,N,N,N,Y,Y,N,N,Quadratic Equations,"Bead on a Wire, Festival Banner, SHM In Two Dimensions",
Quadratic Equations 5,https://isaacphysics.org/questions/quadratic_formula_5_num,,,N,Maths,1,Algebra,Quadratics,,,2,N,N,Y,N,Y,N,N,Quadratic Equations,"Catching Smugglers, Love Bugs, The Ant and the Tortoise",
Arithmetic Series 1,https://isaacphysics.org/questions/arithmetic_series1,,,N,Maths,3,Algebra,Series,,,1,N,N,Y,N,Y,N,N,Arithmetic Series,,
Arithmetic Series 2,https://isaacphysics.org/questions/arithmetic_series2,,,N,Maths,3,Algebra,Series,,,1,N,N,N,Y,Y,N,N,Arithmetic Series,,
Arithmetic Series 2,https://isaacphysics.org/questions/arithmetic_series2_multi,,,N,Maths,3,Algebra,Series,,,1,N,Y,N,N,Y,N,N,Series,,
Binomial Expansion 1,https://isaacphysics.org/questions/binomial_expansion1,,,N,Maths,3,Algebra,Series,,,1,N,N,N,Y,Y,N,N,Binomial Expansion - Positive Integers,,
Binomial Expansion 1,https://isaacphysics.org/questions/binomial_expansion1_multi,,,N,Maths,3,Algebra,Series,,,1,N,Y,N,N,Y,N,N,Series,,
Binomial Expansion 2,https://isaacphysics.org/questions/binomial_expansion2,,,N,Maths,3,Algebra,Series,,,1,N,N,Y,N,Y,N,N,Binomial Expansion - Positive Integers,,
Binomial Expansion 3,https://isaacphysics.org/questions/binomial_expansion3,,,N,Maths,3,Algebra,Series,,,1,N,N,Y,N,Y,N,N,Binomial Expansion - Positive Integers,,
Binomial Expansion 4,https://isaacphysics.org/questions/binomial_expansion4,,,N,Maths,3,Algebra,Series,,,1,N,N,Y,N,Y,N,N,Binomial Expansion - Positive Integers,,
Geometric Series 1,https://isaacphysics.org/questions/geometric_series1,,,N,Maths,3,Algebra,Series,,,1,N,N,N,Y,Y,N,N,Geometric Series,,
Geometric Series 1,https://isaacphysics.org/questions/geometric_series1_multi,,,N,Maths,3,Algebra,Series,,,1,N,Y,N,N,Y,N,N,Series,,
Geometric Series 2,https://isaacphysics.org/questions/geometric_series2,,,N,Maths,3,Algebra,Series,,,1,N,N,N,Y,Y,N,N,Geometric Series,,
Geometric Series 2,https://isaacphysics.org/questions/geometric_series2_num,,,N,Maths,3,Algebra,Series,,,1,N,N,Y,N,Y,N,N,Series,,
Geometric Series 3,https://isaacphysics.org/questions/geometric_series3,,,N,Maths,3,Algebra,Series,,,1,N,N,N,Y,Y,N,N,Geometric Series,,
Geometric Series 3,https://isaacphysics.org/questions/geometric_series3_multi,,,N,Maths,3,Algebra,Series,,,1,N,Y,N,N,Y,N,N,Series,,
Geometric Series 4,https://isaacphysics.org/questions/geometric_series4,,,N,Maths,3,Algebra,Series,,,1,N,N,Y,N,Y,N,N,Geometric Series,,
Geometric Series 4,https://isaacphysics.org/questions/geometric_series4_symbolic,,,N,Maths,3,Algebra,Series,,,1,N,N,N,Y,Y,N,N,Geometric Series,Symmetric Hanging Chain,
Maclaurin Series - Binomial,https://isaacphysics.org/questions/maclaurin_series_binomial,,,N,Maths,6,Algebra,Series,,,4,N,N,Y,Y,Y,N,N,Binomial Expansion - Any Rational Number,SHM of a Simple Scale,
Maclaurin Series - Potential due to Dipole,https://isaacphysics.org/questions/maclaurin_series_dipole12,,,N,Maths,6,Algebra,Series,,,2,N,N,N,Y,Y,N,N,"Calculus - Differentiation, Maclaurin expansions/series",,
Maclaurin Series - Exponentials 1,https://isaacphysics.org/questions/maclaurin_series_exponentials1,,,N,Maths,6,Algebra,Series,,,2,N,N,N,Y,Y,N,N,Maclaurin expansions/series,,
Maclaurin Series - Exponentials 2,https://isaacphysics.org/questions/maclaurin_series_exponentials2,,,N,Maths,6,Algebra,Series,,,4,N,N,N,Y,Y,N,N,Maclaurin expansions/series,Launching a Rocket,
Maclaurin Series - Exponentials 3,https://isaacphysics.org/questions/maclaurin_series_exponentials3,,,N,Maths,6,Algebra,Series,,,2,N,N,Y,N,Y,N,N,Maclaurin expansions/series,"A Damped Pendulum, Cycling through Wind",
Maclaurin Series - ln,https://isaacphysics.org/questions/maclaurin_series_ln,,,N,Maths,6,Algebra,Series,,,3,N,N,N,Y,Y,N,N,"Maclaurin expansions/series, Logarithms","A Hinged Rod, Hanging a Non-uniform Bar, Moment of Inertia of 2 Particles, Moments of Inertia",
Maclaurin Series - Cos & Sin 1,https://isaacphysics.org/questions/maclaurin_series_trig1,,,N,Maths,6,Algebra,Series,,,3,N,N,Y,Y,Y,N,N,"Calculus - Differentiation, Maclaurin expansions/series",,
Maclaurin Series - Cos & Sin 2,https://isaacphysics.org/questions/maclaurin_series_trig2,,,N,Maths,6,Algebra,Series,,,2,N,N,N,Y,Y,N,N,"Maclaurin expansions/series,  Trigonometric Sums (Addition of Angles)",,
"Maclaurin Series - Cos, Sin & Tan",https://isaacphysics.org/questions/maclaurin_series_trig3,,,N,Maths,6,Algebra,Series,,,5,N,N,N,Y,Y,N,N,"Calculus - Differentiation, Binomial Expansion - Any Rational Number, Maclaurin expansions/series, Trigonometric Relationships, Trigonometric Sums (Double and Half Angles)","Moments of Inertia, Moments of Inertia, Rolling Race",
Taylor Series - Potential Energy of Two Atoms,https://isaacphysics.org/questions/taylor_series_atomic_potential,,,N,Maths,6,Algebra,Series,,,1,N,N,N,Y,Y,N,N,Series,"A Chain Sliding through a Tube, A Hinged Rod, A Hinged Rod, Festival Banner, Festival Banner",
Linear-Linear 1,https://isaacphysics.org/questions/linear_linear1_multi,,,N,Maths,1,Algebra,Simultaneous,,,2,N,Y,N,N,Y,N,N,Simultaneous Equations,"A Chain Sliding through a Tube, A Hinged Rod, Festival Banner",
Linear-Linear 1,https://isaacphysics.org/questions/linear_linear1JMR,,,N,Maths,1,Algebra,Simultaneous,,,4,N,N,N,Y,Y,N,N,Simultaneous Equations,"A Capacitive Conundrum, Cube of Capacitors, Equivalent Resistance, Equivalent Resistors, How Many Capacitors?, Two Cs and Three Rs",
Linear-Linear 2,https://isaacphysics.org/questions/linear_linear2,,,N,Maths,1,Algebra,Simultaneous,,,2,N,N,N,Y,Y,N,N,Simultaneous Equations,"A Capacitive Conundrum, Cube of Capacitors, Equivalent Resistance, Equivalent Resistors, How Many Capacitors?, Two Cs and Three Rs",
Linear-Linear 2,https://isaacphysics.org/questions/linear_linear2_multi,,,N,Maths,1,Algebra,Simultaneous,,,1,N,Y,N,N,Y,N,N,Simultaneous Equations,"Charging two capacitors, Cube of Capacitors, Equivalent Capacitance, How Many Capacitors?",
Linear-Linear 3,https://isaacphysics.org/questions/linear_linear3,,,N,Maths,1,Algebra,Simultaneous,,,2,N,N,N,Y,Y,N,N,Simultaneous Equations,"A Capacitive Conundrum, Capacitor Combinations, Equivalent Capacitance, How Many Capacitors?",
Linear-Linear 3,https://isaacphysics.org/questions/linear_linear3_multi,,,N,Maths,1,Algebra,Simultaneous,,,1,N,Y,N,N,Y,N,N,Simultaneous Equations,"Capacitive Touchscreen, Capacitor on Hooke's",
Linear-Linear 4,https://isaacphysics.org/questions/linear_linear4,,,N,Maths,1,Algebra,Simultaneous,,,1,N,N,N,Y,Y,N,N,Simultaneous Equations,"Capacitive Touchscreen, Capacitor on Hooke's",
Linear-Linear 4,https://isaacphysics.org/questions/linear_linear4_multi,,,N,Maths,1,Algebra,Simultaneous,,,1,N,Y,N,N,Y,N,N,Simultaneous Equations,"Charging two capacitors, Square Pulse, Square Wave Charging, Variable Capacitor",
Linear-Quadratic 1,https://isaacphysics.org/questions/linear_quadratic1,,,N,Maths,1,Algebra,Simultaneous,,,4,N,N,N,Y,Y,N,N,Simultaneous Equations,"Spring Triangle, Variable Capacitor",
Linear-Quadratic 1,https://isaacphysics.org/questions/linear_quadratic1_multi,,,N,Maths,1,Algebra,Simultaneous,,,1,N,Y,N,N,Y,N,N,Simultaneous Equations,"Body capacitance, Capacitor & Diode Rectifier, Discharging Capacitor, Point of No Return, Square Pulse, Two Cs and Three Rs",
Linear-Quadratic 2,https://isaacphysics.org/questions/linear_quadratic2,,,N,Maths,1,Algebra,Simultaneous,,,4,N,N,N,Y,Y,N,N,Simultaneous Equations,"Body capacitance, Capacitor & Diode Rectifier, Discharging Capacitor, Square Wave Charging",
Linear-Quadratic 2,https://isaacphysics.org/questions/linear_quadratic2_multi,,,N,Maths,1,Algebra,Simultaneous,,,1,N,Y,N,N,Y,N,N,Simultaneous Equations,"Capacitive Touchscreen, Capacitor on Hooke's, Characteristic Time for Capacitors, Discharging Capacitor, Two Cs and Three Rs",
Linear-Quadratic 3,https://isaacphysics.org/questions/linear_quadratic3,,,N,Maths,1,Algebra,Simultaneous,,,4,N,N,N,Y,Y,N,N,Simultaneous Equations,"Alternating RC Circuit, Body capacitance, Capacitive Touchscreen, Capacitor & Diode Rectifier, Capacitor Energy Bank, Capacitor on Hooke's, Charging two capacitors, Square Pulse",
Linear-Quadratic 3,https://isaacphysics.org/questions/linear_quadratic3_multi,,,N,Maths,1,Algebra,Simultaneous,,,1,N,Y,N,N,Y,N,N,Simultaneous Equations,"Body capacitance, Current and Resistance, Two Cs and Three Rs",
Linear-Quadratic 4,https://isaacphysics.org/questions/linear_quadratic4,,,N,Maths,1,Algebra,Simultaneous,,,1,N,N,N,Y,Y,N,N,Simultaneous Equations,"A Capacitive Conundrum, Capacitor & Diode Rectifier, Capacitor Energy Bank, Characteristic Time for Capacitors, Charging two capacitors, Cube of Capacitors, Discharging Capacitor, Equivalent Capacitance, Potentiometer Circuit with Capacitor",
Linear-Quadratic 4,https://isaacphysics.org/questions/linear_quadratic4_multi,,,N,Maths,1,Algebra,Simultaneous,,,1,N,Y,N,N,Y,N,N,Simultaneous Equations,"A Capacitive Conundrum, Cube of Capacitors, Equivalent Capacitance, Equivalent Resistance, Equivalent Resistors",
Linear-Quadratic 5,https://isaacphysics.org/questions/linear_quadratic5_multi,,,N,Maths,1,Algebra,Simultaneous,,,1,N,Y,N,N,Y,N,N,Simultaneous Equations,"A Capacitive Conundrum, Capacitor Energy Bank, Characteristic Time for Capacitors, Discharging Capacitor, Potentiometer Circuit with Capacitor, Power in Resistors, Slowing Down A Bomb, Square Pulse",
Linear Quadratic 5,https://isaacphysics.org/questions/linear_quadratic5LJW,,,N,Maths,1,Algebra,Simultaneous,,,2,N,N,N,Y,Y,N,N,,"An Oscillating Capacitor, Body capacitance, Capacitor & Diode Rectifier, Characteristic Time for Capacitors, Square Pulse, Two Cs and Three Rs",
Linear-Quadratic 6,https://isaacphysics.org/questions/linear_quadratic6_multi,,,N,Maths,1,Algebra,Simultaneous,,,1,N,Y,N,N,Y,N,N,Simultaneous Equations,"An Oscillating Capacitor, Body capacitance, Capacitor & Diode Rectifier, Characteristic Time for Capacitors, Square Pulse, Two Cs and Three Rs",
Linear-Quadratic 6,https://isaacphysics.org/questions/linear_quadratic6LJW,,,N,Maths,1,Algebra,Simultaneous,,,2,N,N,N,Y,Y,N,N,Simultaneous Equations,"Body capacitance, Slowing Down A Bomb, Two cells and two resistors",
Charging a Capacitor,https://isaacphysics.org/questions/capacitor_charging_eq,,,N,Maths,5,Calculus,Differential Equations,,,1,N,N,N,Y,Y,N,N,"Calculus - Integrating Common Functions (Frequently Used in Physics), Indefinite integrals, Simple First-Order Differential Equations","Freefall to the Moon, Freefall to the Moon, Space Missions and Lagrangian Points, Symmetry and Centre of Mass",
Charging a Capacitor,https://isaacphysics.org/questions/capacitor_charging_eq_multi,,,N,Maths,5,Calculus,Differential Equations,,,1,N,Y,N,N,Y,N,N,"Calculus - Integrating Common Functions, Calculus - Introduction to Integration, Differential Equations","Angular vs. Linear Motion, Mercury in a U-Tube, Sphere under Gravity",
Cooling Body,https://isaacphysics.org/questions/cooling_body,,,N,Maths,5,Calculus,Differential Equations,,,1,N,N,N,Y,Y,N,N,"Calculus - Integrating Common Functions (Frequently Used in Physics), Indefinite integrals, Simple First-Order Differential Equations","Destroying the Moon, Moments of Inertia, Swinging Rod, Two Mass Pendulum",
Cooling Body,https://isaacphysics.org/questions/cooling_body_multi,,,N,Maths,5,Calculus,Differential Equations,,,1,N,Y,N,N,Y,N,N,"Calculus - Integrating Common Functions, Calculus - Introduction to Integration, Differential Equations","Double Decker Bus, Toppling Block",
Normal Distribution,https://isaacphysics.org/questions/diff_eq_normal_distribution,,,N,Maths,5,Calculus,Differential Equations,,,1,N,N,N,Y,Y,N,N,"Calculus - Integrating Common Functions (Frequently Used in Physics), Indefinite integrals, Differential Equations, Calculus - Integration by Substitution","Block on a Rough Table, Careless Astronauts, Toppling Block, Weight of a Lorry",
Normal Distribution,https://isaacphysics.org/questions/diff_eq_normal_distribution_multi,,,N,Maths,5,Calculus,Differential Equations,,,1,N,Y,N,N,Y,N,N,"Calculus - Integrating Common Functions, Calculus - Introduction to Integration, Differential Equations","Chopping up Springs, How Long is a Space Ruler?, SHM Perpendicular to a Spring, The Water Wheel",
Simple Harmonic Motion 1,https://isaacphysics.org/questions/diff_eq_SHM1,,,N,Maths,5,Calculus,Differential Equations,,,1,N,N,N,Y,Y,N,N,"Calculus - Integrating Common Functions (Frequently Used in Physics), Indefinite integrals, Simple First-Order Differential Equations","Double Decker Bus, Moments of Inertia, Weight of a Lorry",
Simple Harmonic Motion 1,https://isaacphysics.org/questions/diff_eq_SHM1_multi,,,N,Maths,5,Calculus,Differential Equations,,,1,N,Y,N,N,Y,N,N,"Calculus - Integrating Common Functions, Calculus - Introduction to Integration, Differential Equations","Double Decker Bus, Ice Roof, Two Rods and a Hinge",
Simple Harmonic Motion 2,https://isaacphysics.org/questions/diff_eq_SHM2,,,N,Maths,5,Calculus,Differential Equations,,,1,N,N,N,Y,Y,N,N,"Calculus - Integration by Substitution and by Parts, Indefinite integrals, Simple First-Order Differential Equations","Ice Roof, T Shaped Pendulum",
Simple Harmonic Motion 2,https://isaacphysics.org/questions/diff_eq_SHM2_multi,,,N,Maths,5,Calculus,Differential Equations,,,1,N,Y,N,N,Y,N,N,"Calculus - Integrating Common Functions, Calculus - Introduction to Integration, Differential Equations","A Well, Energy of a Bullet",
Simple Harmonic Motion 3,https://isaacphysics.org/questions/diff_eq_SHM3,,,N,Maths,5,Calculus,Differential Equations,,,1,N,N,N,Y,Y,N,N,"Calculus - Integrating Common Functions (Frequently Used in Physics), Indefinite integrals, Separation of Variables","A Framework, Shelf and Brackets",
Simple Harmonic Motion 3,https://isaacphysics.org/questions/diff_eq_SHM3_multi,,,N,Maths,5,Calculus,Differential Equations,,,1,N,Y,N,N,Y,N,N,"Calculus - Integrating Common Functions, Calculus - Introduction to Integration, Differential Equations","A Framework, Collision in Deep Space, Shelf and Brackets",
Velocity of Rocket,https://isaacphysics.org/questions/rocket_velocity,,,N,Maths,5,Calculus,Differential Equations,,,1,N,N,N,Y,Y,N,N,"Calculus - Integrating Common Functions (Frequently Used in Physics), Indefinite integrals, Simple First-Order Differential Equations",The Lifeguard ,
Velocity of Rocket,https://isaacphysics.org/questions/rocket_velocity_multi,,,N,Maths,5,Calculus,Differential Equations,,,1,N,Y,N,N,Y,N,N,"Calculus - Integrating Common Functions, Calculus - Introduction to Integration, Differential Equations",,
