"File created on Wednesday, 25th November 2020.",,,,,,,,,,,,,,,,,,,,,
This information is provided as is. Please let us know of any mistakes or inaccuracies.,,,,,,,,,,,,,,,,,,,,,
Question Name:,URL:,Book Name?,Master Maths?,Replaced?,Subject:,Level:,Field:,Topic:,Number of Parts:,Contains Show/Hide Q?,Contains Multi Choice Q?,Contains Numeric Q?,Contains Symbolic Q?,Has Hints?,Has Video?,Has Diagram?,Required Practical,Related Questions:,Related Concepts:,Detailed Concept Sections:,Notes:
Two Cells and Two Resistors,https://isaacphysics.org/questions/two_cell_and_two_resistors,,N,,Physics,1,Circuits,Resistors,1,N,N,Y,N,Y,Y,Y,"Edexcel 5 (Investigate relationship between current, potential difference and resistance for a resistor and a filament lamp, and test series and parallel circuits). AQA 3 (Investigate combinations of resistors in series and parallel). ","A Fuse Problem, A Power Problem, Batteries and Resistors in Parallel, Power in Resistors, Power of a Light Bulb","Electrical Components, Kirchhoff's Laws, Ohm's Law, Power","Electrical Components (Resistor), Kirchhoff's Laws (Kirchhoff's Current Law), Power (Electric Power)",
Ammeter Sensitivity,https://isaacphysics.org/questions/ammeter_sensitivity,,N,,Physics,2,Circuits,Resistors,1,N,N,Y,N,Y,Y,Y,,"Bulbs and Power, Current in Parallel Resistors, Equivalent Resistance, Odd Potential Difference, Rambunctious Resistors","Electrical Components, Kirchhoff's Laws, Ohm's Law",Electrical Components (Resistor),
Bulbs and Power,https://isaacphysics.org/questions/bulbs_and_power,,N,,Physics,2,Circuits,Resistors,1,N,N,Y,N,Y,Y,Y,,"Bulbs and Power, Current in Parallel Resistors, Equivalent Resistance, Odd Potential Difference, Rambunctious Resistors","Electrical Components, Kirchhoff's Laws, Ohm's Law",Electrical Components (Resistor),
Current and Resistance,https://isaacphysics.org/questions/current_and_resistance,,N,Y,Physics,2,Circuits,Resistors,1,N,N,Y,N,Y,Y,N,,"Current and Resistance, Odd Potential Difference, Power in Resistors, Rambunctious Resistors, Resistors with Tolerance","Electrical Components, Kirchhoff's Laws, Ohm's Law",Electrical Components (Resistor),
Current and Resistance,https://isaacphysics.org/questions/current_and_resistance_sym,,N,,Physics,2,Circuits,Resistors,1,N,N,N,Y,Y,Y,N,,"Current between Resistors, Equivalent Resistance, Rambunctious Resistors, Resistance Loop","Electrical Components, Kirchhoff's Laws, Ohm's Law",Electrical Components (Resistor),
Equivalent Resistance,https://isaacphysics.org/questions/equivalent_resistance,,N,,Physics,2,Circuits,Resistors,1,N,N,Y,N,Y,Y,N,,"Current in Parallel Resistors, Internal Resistance in Series, Range of Related Resistors, Resistors in Parallel and Series","Electrical Cell, Kirchhoff's Laws, Ohm's Law",Kirchhoff's Laws (Kirchhoff's Voltage Law),
Equivalent Resistors,https://isaacphysics.org/questions/equivalent_resistors,,N,,Physics,2,Circuits,Resistors,2,N,N,Y,N,Y,Y,N,,"Current in Parallel Resistors, Internal Resistance in Series, Range of Related Resistors, Resistors in Parallel and Series","Electrical Cell, Kirchhoff's Laws, Ohm's Law",Kirchhoff's Laws (Kirchhoff's Voltage Law),
Finding Internal Resistance,https://isaacphysics.org/questions/finding_the_internal_resistance,,N,Y,Physics,2,Circuits,Resistors,1,N,N,Y,N,Y,Y,Y,"AQA 6, Edexcel 3 (Investigate emf and internal resistance of cells and batteries)","Bulbs and Power, Making Bulbs Brighter, Power in Resistors, Resistors in Parallel","Electrical Components, Ohm's Law, Power","Electrical Components (Resistor), Power (Electric Power)",
Finding Internal Resistance,https://isaacphysics.org/questions/finding_the_internal_resistance_sym,,N,,Physics,2,Circuits,Resistors,1,N,N,N,Y,Y,Y,Y,"AQA 6, Edexcel 3 (Investigate emf and internal resistance of cells and batteries)","Ammeter Sensitivity, Range of Related Resistors, Resistors in Parallel and Series, Vital Voltmeters","Electrical Components, Kirchhoff's Laws, Ohm's Law",Electrical Components (Resistor),
Heating an Electric Fire,https://isaacphysics.org/questions/heating_an_electric_fire,,N,,Physics,2,Circuits,Resistors,4,N,Y,Y,N,Y,Y,N,,"Current and Resistance, Equivalent Resistance, Power Limited Resistors, Resistors in Parallel and Series, Voltage Measurement","Electrical Components, Kirchhoff's Laws, Ohm's Law",Electrical Components (Resistor),
Meter Measurements,https://isaacphysics.org/questions/meter_measurements,,N,,Physics,2,Circuits,Resistors,2,N,Y,N,N,Y,N,N,,"A Power Problem, Batteries and Resistors in Parallel, Bulbs and Power, Odd Potential Difference, Power in Resistors","Kirchhoff's Laws, Ohm's Law, Power","Electrical Components (Resistor), Power (Electric Power)",
Odd Potential Difference,https://isaacphysics.org/questions/odd_potential_difference,,N,,Physics,2,Circuits,Resistors,1,N,N,Y,N,Y,Y,Y,,"Cells in Reverse, Melting a Snowman, Motor Efficiency, Resistors in Parallel, Series Resistors","Ohm's Law, Power",Power (Electric Power),
Power Limited Resistors,https://isaacphysics.org/questions/power_limited_resistors,,N,,Physics,2,Circuits,Resistors,2,N,Y,Y,N,Y,Y,N,,"Batteries and Resistors in Parallel, Power Loss in Cables, Power of a Light Bulb, Range of Related Resistors, Resistor for LED Circuit, Resistors in Parallel, Resistors in Parallel and Series, Series Resistors","Electrical Components, Ohm's Law, Power","Electrical Components (Resistor), Power (Electric Power)",
Power Loss in Cables,https://isaacphysics.org/questions/power_loss_in_cables,,N,,Physics,2,Circuits,Resistors,2,N,N,Y,N,Y,Y,Y,,"A Power Problem, Equivalent Resistance, Equivalent Resistors, Pascal's Resistors","Electrical Components, Kirchhoff's Laws, Ohm's Law",Electrical Components (Resistor),
Power in Resistors,https://isaacphysics.org/questions/power_in_resistors,,N,,Physics,2,Circuits,Resistors,3,N,Y,Y,N,Y,Y,N,,"Batteries in Parallel, Current and Resistance, Equivalent Resistance, Rambunctious Resistors, Range of Related Resistors","Electrical Components, Kirchhoff's Laws, Ohm's Law",Electrical Components (Resistor),
Rambunctious Resistors,https://isaacphysics.org/questions/rambunctious_resistors,,N,,Physics,2,Circuits,Resistors,1,N,N,Y,N,Y,Y,Y,,"Bulbs and Power, Power Limited Resistors, Power in Resistors, Resistance and Power","Ohm's Law, Power, Work",Power (Electric Power),
Resistors with Tolerance,https://isaacphysics.org/questions/resistors_with_tolerance,,N,,Physics,2,Circuits,Resistors,1,N,N,Y,N,Y,Y,N,,"Bulbs and Power, Power Limited Resistors, Power in Resistors, Resistance and Power","Ohm's Law, Power, Work",Power (Electric Power),
Work in Resistors,https://isaacphysics.org/questions/work_in_resistors,,N,Y,Physics,2,Circuits,Resistors,1,N,N,Y,N,Y,N,N,,"Infinite Resistors, Power Limited Resistors, Resistance and Power","Electrical Components, Kirchhoff's Laws, Ohm's Law, Power","Electrical Components (Resistor), Power (Electric Power)",
Work in Resistors,https://isaacphysics.org/questions/work_in_resistors_sym,,N,,Physics,2,Circuits,Resistors,1,N,N,N,Y,Y,N,N,,"A Power Problem, Batteries in Parallel, Cells in Reverse, Power Limited Resistors","Electrical Cell, Kirchhoff's Laws, Ohm's Law, Power",Power (Electric Power),
A Power Problem,https://isaacphysics.org/questions/a_power_problem,,N,,Physics,3,Circuits,Resistors,1,N,N,Y,N,Y,N,Y,,"Batteries and Resistors in Parallel, Cells in Reverse, Current and Resistance, Point of No Return, Resistors with Tolerance","Electrical Cell, Kirchhoff's Laws, Ohm's Law",,
Batteries and Resistors in Parallel,https://isaacphysics.org/questions/batteries_and_resistors_in_parallel,,N,,Physics,3,Circuits,Resistors,2,N,N,Y,N,Y,Y,N,,"Current and Resistance, Measuring Resistances, Point of No Return, Voltage Measurement","Electrical Components, Kirchhoff's Laws, Ohm's Law","Electrical Components (Ammeter, Resistor)",
Batteries in Parallel,https://isaacphysics.org/questions/batteries_in_parallel,,N,,Physics,3,Circuits,Resistors,1,N,N,Y,N,Y,Y,Y,"AQA 6, Edexcel 3 (Investigate emf and internal resistance of cells and batteries)","Current and Resistance, Measuring Resistances, Point of No Return, Voltage Measurement","Electrical Components, Kirchhoff's Laws, Ohm's Law","Electrical Components (Ammeter, Resistor)",
Current between Resistors,https://isaacphysics.org/questions/current_between_resistors,,N,Y,Physics,3,Circuits,Resistors,1,N,N,Y,N,Y,Y,Y,,"A Power Problem, Pascal's Resistors, Power Limited Resistors, Resistance and Power","Electrical Components, Kirchhoff's Laws, Ohm's Law, Power, Series","Electrical Components (Resistor), Power (Electric Power)",
Current between Resistors,https://isaacphysics.org/questions/current_between_resistors_sym,,N,,Physics,3,Circuits,Resistors,1,N,N,N,Y,Y,Y,Y,,"A Diode Divider, Point of No Return, Voltage Measurement","Electrical Components, Kirchhoff's Laws, Ohm's Law",Electrical Components (Resistor),
Infinite Resistors,https://isaacphysics.org/questions/infinite_resistors,,N,,Physics,3,Circuits,Resistors,5,N,N,Y,N,Y,Y,N,,"Equivalent Resistance, Equivalent Resistors, Infinite Resistors, Rambunctious Resistors","Electrical Components, Kirchhoff's Laws, Ohm's Law",Electrical Components (Resistor),
Measuring Resistances,https://isaacphysics.org/questions/measuring_resistances,,N,,Physics,3,Circuits,Resistors,1,N,N,Y,N,Y,N,Y,"AQA 5, OCR 3, Edexcel 2 (Determine resistivity of a wire)","Batteries and Resistors in Parallel, Current between Resistors, Measuring Resistances, Voltage Measurement","Kirchhoff's Laws, Ohm's Law",,
Pascal's Resistors,https://isaacphysics.org/questions/pascals_resistors,,N,,Physics,3,Circuits,Resistors,1,N,N,Y,N,Y,N,N,,"Batteries and Resistors in Parallel, Current between Resistors, Current between Resistors, Measuring Resistances, Voltage Measurement","Kirchhoff's Laws, Ohm's Law",,
Point of No Return,https://isaacphysics.org/questions/point_of_no_return,,N,Y,Physics,3,Circuits,Resistors,1,N,Y,N,N,Y,Y,Y,,"A Devious Diode, A Power Problem, Exponential I-V, Internal Resistance in Series","Electrical Cell, Electrical Components, Kirchhoff's Laws, Ohm's Law, Power","Electrical Components (Resistor), Power (Electric Power)",
Point of No Return,https://isaacphysics.org/questions/point_of_no_return_sym,,N,,Physics,3,Circuits,Resistors,1,N,N,N,Y,Y,Y,Y,,"Batteries and Resistors in Parallel, Current between Resistors, Measuring Resistances, Point of No Return","Kirchhoff's Laws, Ohm's Law",Kirchhoff's Laws (Kirchhoff's Voltage Law),
Resistance and Power,https://isaacphysics.org/questions/resistance_and_power,,N,,Physics,3,Circuits,Resistors,4,N,N,Y,N,Y,Y,Y,"AQA 6, Edexcel 3 (Investigate emf and internal resistance of cells and batteries)","Charging a Falling Sphere, Deflection of a Charged Particle, Drops of Oil, Electric Potential, Field between Parallel Plates, Force in a Uniform E Field, Gradient of Potential Energy, Liquid Pool, Oil Drop Experiment, Potential Difference, Properties of an Electric Field , Semicircular Paths, Vectors in Fields, Where do the Charges Go?","Conservation of Energy, Electric Field, Field Potential, Fields, Force, Kinetic Energy: Linear and Rotational, Lorentz Force, Magnetic Fields","Field Potential (Electric Potential), Kinetic Energy: Linear and Rotational (Linear Kinetic Energy), Lorentz Force (Force on a moving charge in a B field), Potential Energy (Gravitational and Electric PE)",
Voltage Measurement,https://isaacphysics.org/questions/voltage_measurement,,N,,Physics,3,Circuits,Resistors,1,N,N,Y,N,Y,Y,N,,"Balancing Forces on an Electron, Cloud Chamber, Electron in a Magnetic Field, Identifying Ions, Liquid Pool, Semicircular Paths, Vectors in Fields, Where do the Charges Go?","Electric Field, Fields, Force, Lorentz Force, Magnetic Fields",Lorentz Force (Force on a moving charge in a B field),
Balancing Forces on an Electron,https://isaacphysics.org/questions/balancing_forces_on_electron,,N,,Physics,4,Fields,Combined Fields,5,Y,Y,Y,N,Y,Y,Y,,"Charging a Falling Sphere, Forces in Helium, Oil Drop Experiment, Types of Field","Electric Field, Equilibrium, Fields, Force, Gravitational Field, Lorentz Force, Magnetic Fields, Newton's First Law, Newton's Second Law",,
Deflection of a Charged Particle,https://isaacphysics.org/questions/deflection_of_a_particle,,N,,Physics,4,Fields,Combined Fields,1,N,Y,N,N,Y,N,N,,"Electric Field Strength , Electric Levitation, Oil Drop Experiment, Two Orbiting Masses, Types of Field","Electric Field, Fields, Force, Gravitational Field",,
Electric Levitation,https://isaacphysics.org/questions/sphere_in_a_field,,N,,Physics,4,Fields,Combined Fields,3,N,Y,Y,N,Y,Y,Y,,"Balancing Forces on an Electron, Cloud Chamber, Deflection of a Charged Particle, Electron in a Magnetic Field, Identifying Ions, Semicircular Paths, Vectors in Fields, Where do the Charges Go?","Electric Field, Fields, Force, Lorentz Force, Magnetic Fields",Lorentz Force (Force on a moving charge in a B field),
Forces in Helium,https://isaacphysics.org/questions/forces_in_helium,,N,,Physics,4,Fields,Combined Fields,1,N,N,Y,N,Y,N,N,,"Electric Levitation, Forces in Helium, Types of Field","Electric Field, Fields, Force, Gravitational Field, Newton's First Law",,
Liquid Pool,https://isaacphysics.org/questions/Liquid_Pool,,N,,Physics,4,Fields,Combined Fields,1,N,Y,N,N,Y,Y,Y,,"A Mass Spectrometer, Balancing Forces on an Electron, Corkscrewing Particle, Deflection of a Charged Particle, Fire up the Cyclotron!, Helical Pitch, Inkjet Printing, Liquid Pool, Vectors in Fields, Where do the Charges Go?","Circular Kinematics, Electric Field, Field Potential, Fields, Force, Kinetic Energy: Linear and Rotational, Lorentz Force, Magnetic Fields, Potential Energy","Circular Kinematics (Circular Dynamics), Field Potential (Electric Potential), Kinetic Energy: Linear and Rotational (Linear Kinetic Energy), Lorentz Force (Force on a moving charge in a B field), Potential Energy (Gravitational and Electric PE)",
Oil Drop Experiment,https://isaacphysics.org/questions/oil_drop_multiple_fields_num,,N,,Physics,4,Fields,Combined Fields,6,Y,Y,Y,N,Y,Y,Y,,"Electric Levitation, Forces in Helium, Oil Drop Experiment","Electric Field, Fields, Gravitational Field, Magnetic Fields",,
Semicircular Paths,https://isaacphysics.org/questions/semicircular_paths,,N,,Physics,4,Fields,Combined Fields,1,N,N,Y,N,Y,Y,Y,,"Balancing Forces on an Electron, Deflection of a Charged Particle, Liquid Pool, Semicircular Paths, Where do the Charges Go?","Electric Field, Fields, Force, Lorentz Force, Magnetic Fields, Newton's First Law, Vectors - Describing and Adding Vectors, Vectors - Resolving Vectors",Lorentz Force (Force on a moving charge in a B field),
Types of Field,https://isaacphysics.org/questions/nature_of_field,,N,,Physics,4,Fields,Combined Fields,1,N,Y,N,N,Y,N,N,,"Balancing Forces on an Electron, Cloud Chamber, Deflection of a Charged Particle, Liquid Pool, Semicircular Paths, Vectors in Fields","Electric Field, Fields, Force, Lorentz Force, Magnetic Fields",Lorentz Force (Force on a moving charge in a B field),
Vectors in Fields,https://isaacphysics.org/questions/vectors_in_fields,,N,,Physics,4,Fields,Combined Fields,4,N,N,Y,N,Y,Y,Y,,"Collecting Ions, Corkscrewing Particle, Deflecting Ions, Helical Pitch, Identifying Ions, Inkjet Printing, Semicircular Paths","Circular Kinematics, Electric Field, Field Potential, Fields, Force, Lorentz Force, Magnetic Fields","Circular Kinematics (Circular Dynamics), Field Potential (Electric Potential), Lorentz Force (Force on a moving charge in a B field)",
Where do the Charges Go?,https://isaacphysics.org/questions/direction_different_charges_E_B_field,,N,,Physics,4,Fields,Combined Fields,1,N,Y,N,N,Y,Y,Y,,"Adding Fields, Charges in a Square, Hollow Planet, Modelling Earth's Gravity","Electric Field, Fields, Force, Gravitational Field",,
A Mass Spectrometer,https://isaacphysics.org/questions/mass_spectrometer,,N,,Physics,5,Fields,Combined Fields,3,N,N,Y,N,Y,Y,Y,,"Escaping from the Moon, Escaping the Earth, Modelling Earth's Gravity, Star Potential Energy","Circular Kinematics, Electric Field, Fields, Force, Gravitational Field, Potential Energy",Potential Energy (Gravitational and Electric PE),
Charged Massive Shell,https://isaacphysics.org/questions/charged_massive_shell,,N,,Physics,5,Fields,Combined Fields,1,N,Y,N,N,Y,Y,Y,,"Balancing Forces on an Electron, Drops of Oil, Electric Levitation, Oil Drop Experiment, Ring Dropped into Magnet","Electric Field, Field Potential, Fields, Force, Gravitational Field, Newton's First Law",Field Potential (Electric Potential),
Charged Stars,https://isaacphysics.org/questions/protons_orbiting_a_star,,N,,Physics,5,Fields,Combined Fields,2,N,N,Y,N,Y,Y,N,,"A Mass Spectrometer, Collecting Ions, Electron in a Magnetic Field, Fire up the Cyclotron!, Helical Pitch, Identifying Ions, Inkjet Printing, Semicircular Paths","Circular Kinematics, Electric Field, Fields, Force, Lorentz Force, Magnetic Fields, Vectors - Describing and Adding Vectors, Vectors - Resolving Vectors","Circular Kinematics (Circular Dynamics), Lorentz Force (Force on a moving charge in a B field)",
Charging a Falling Sphere,https://isaacphysics.org/questions/charging_falling_sphere,,N,,Physics,5,Fields,Combined Fields,1,N,N,Y,N,Y,Y,Y,,"Adding Fields, Between Two Masses, Charges in Three Corners, Charges in a Square","Electric Field, Fields, Force, Gravitational Field, Vectors - Describing and Adding Vectors","Field Potential (Electric Potential), Fields (Adding Scalar Fields, Adding Vector Fields)",
Corkscrewing Particle,https://isaacphysics.org/questions/helical_path,,N,,Physics,5,Fields,Combined Fields,8,N,Y,Y,N,Y,Y,Y,,"A Mass Spectrometer, Collecting Ions, Corkscrewing Particle, Deflecting Ions, Helical Pitch, Identifying Ions, Inkjet Printing, Semicircular Paths","Circular Kinematics, Electric Field, Field Potential, Fields, Lorentz Force, Magnetic Fields","Circular Kinematics (Circular Dynamics), Lorentz Force (Force on a moving charge in a B field)",
Fields in a Triangle,https://isaacphysics.org/questions/fields_in_a_triangle_num,,N,,Physics,5,Fields,Combined Fields,4,N,Y,Y,N,Y,Y,Y,,The Moon seen by Earthshine,"Electric Field, Fields, Flux and Gauss's Law, Gravitational Field, Inverse Square Laws in Physics",,
Fire up the Cyclotron!,https://isaacphysics.org/questions/cyclotron_dep,,N,,Physics,5,Fields,Combined Fields,1,N,Y,N,N,Y,Y,Y,,The Moon seen by Earthshine,"Electric Field, Fields, Flux and Gauss's Law, Gravitational Field, Inverse Square Laws in Physics",,
Geometry and Inverse Square Laws,https://isaacphysics.org/questions/inverse_square_geometry,,N,Y,Physics,5,Fields,Combined Fields,3,N,N,Y,N,Y,Y,Y,,Geometry and Inverse Square Laws,"Fields, Inverse Square Laws in Physics",,
Geometry and Inverse Square Laws,https://isaacphysics.org/questions/inverse_square_geometry_sym,,N,,Physics,5,Fields,Combined Fields,3,N,N,N,Y,Y,Y,Y,,"Estimating Gravity, Force in a Uniform E Field, Gradient of Potential Energy, Pendulum in a Lift","Electric Field, Field Potential, Fields, Force, Gravitational Field, Simple Harmonic Motion",,
The Moon seen by Earthshine,https://isaacphysics.org/questions/moon_earthshine,,N,,Physics,5,Fields,Combined Fields,2,N,N,Y,N,Y,Y,Y,,"Field between Parallel Plates, Identifying Ions","Electric Field, Fields, Force, Moments or Torques",,
Thunder Cloud,https://isaacphysics.org/questions/thunder_cloud,,N,,Physics,5,Fields,Combined Fields,3,N,N,Y,N,Y,Y,N,,"Balancing Forces on an Electron, Charged Massive Shell, Charges in Three Corners, Electric Field Strength , Electric Potential, Field between Parallel Plates, Fields in a Triangle, Force in a Uniform E Field, Gradient of Potential Energy, Potential Difference, Properties of an Electric Field ","Electric Field, Field Potential, Fields, Vectors - Describing and Adding Vectors","Field Potential (Electric Potential), Fields (Adding Scalar Fields, Adding Vector Fields)",
A Rod in a Non-Uniform Field,https://isaacphysics.org/questions/rod_non_uniform_field,,N,,Physics,4,Fields,Electric Fields,1,N,Y,N,N,Y,Y,Y,,"Charges in a Square, Fields in a Triangle","Electric Field, Fields, Vectors - Describing and Adding Vectors",,
Adding Fields,https://isaacphysics.org/questions/adding_fields_num,,N,,Physics,4,Fields,Electric Fields,5,Y,N,Y,N,Y,Y,Y,,"Charged Massive Shell, Charges in Three Corners, Electric Field Strength , Fields in a Triangle","Electric Field, Fields, Vectors - Describing and Adding Vectors",,
Charges in Three Corners,https://isaacphysics.org/questions/three_corner_charges,,N,,Physics,4,Fields,Electric Fields,2,N,Y,N,N,Y,Y,Y,,"Charges in Three Corners, Charges in a Square, Forces in Helium","Electric Field, Fields",,
Charges in a Square,https://isaacphysics.org/questions/charges_in_a_square,,N,,Physics,4,Fields,Electric Fields,1,N,Y,N,N,Y,Y,Y,,"Accelerating Particles, Approaching a Nucleus, Balancing Forces on an Electron, Electrostatic Shield, Field between Parallel Plates, Force in a Uniform E Field, Gradient of Potential Energy, Ionic Molecule, Ionisation Energy, Potential Difference, Properties of an Electric Field ","Electric Field, Field Potential, Fields, Potential Energy, Work","Field Potential (Electric Potential), Potential Energy (Gravitational and Electric PE)",
Electric Field Strength,https://isaacphysics.org/questions/basic_electric_field_strength,,N,,Physics,4,Fields,Electric Fields,2,N,N,Y,N,Y,N,Y,,"Accelerating Particles, Aligning Dipoles, Approaching a Nucleus, Balancing Forces on an Electron, Electric Potential, Force in a Uniform E Field, Gradient of Potential Energy, Potential Difference, Properties of an Electric Field ","Electric Field, Field Potential, Fields, Force",Field Potential (Electric Potential),
Electric Potential,https://isaacphysics.org/questions/electric_potential,,N,,Physics,4,Fields,Electric Fields,1,N,Y,N,N,Y,N,N,,"Aligning Dipoles, Balancing Forces on an Electron, Electric Potential, Field between Parallel Plates, Gradient of Potential Energy, Potential Difference, Properties of an Electric Field , Thunder Cloud","Electric Field, Fields, Force, Potential Energy",,
Field between Parallel Plates,https://isaacphysics.org/questions/basic_e_field_parallel_plates,,N,,Physics,4,Fields,Electric Fields,4,N,Y,Y,N,Y,N,Y,,"Balancing Forces on an Electron, Electric Potential, Field between Parallel Plates, Force in a Uniform E Field, Hollow Planet, Ionic Molecule, Potential Difference, Properties of an Electric Field , Thunder Cloud","Electric Field, Field Potential, Fields, Force, Potential Energy",Field Potential (Electric Potential),
Force in a Uniform E Field,https://isaacphysics.org/questions/graph_uniform_field,,N,,Physics,4,Fields,Electric Fields,1,N,N,Y,N,Y,N,Y,,"A Mass Spectrometer, A Rod in a Non-Uniform Field, Accelerating Particles, Collecting Ions, Corkscrewing Particle, Deflection of a Charged Particle, Fire up the Cyclotron!, Liquid Pool, Semicircular Paths","Electric Field, Equations of Motion, Fields, Force",,
Gradient of Potential Energy,https://isaacphysics.org/questions/EPE_graph_gradient,,N,,Physics,4,Fields,Electric Fields,1,N,Y,N,N,Y,N,N,,"Balancing Forces on an Electron, Electric Potential, Field between Parallel Plates, Force in a Uniform E Field, Gradient of Potential Energy, Properties of an Electric Field ","Electric Field, Field Potential, Fields, Work","Field Potential (Electric Potential), Potential Energy (Gravitational and Electric PE)",
Identifying Ions,https://isaacphysics.org/questions/identifying_ions,,N,,Physics,4,Fields,Electric Fields,5,N,Y,Y,N,Y,Y,Y,,"Balancing Forces on an Electron, Electric Potential, Field between Parallel Plates, Force in a Uniform E Field, Gradient of Potential Energy, Potential Difference","Electric Field, Field Potential, Fields, Potential Energy","Field Potential (Electric Potential), Potential Energy (Gravitational and Electric PE)",
Potential Difference,https://isaacphysics.org/questions/potential_work_done,,N,,Physics,4,Fields,Electric Fields,3,N,Y,Y,N,Y,N,Y,,"Aiming an Oscilloscope Beam, Drops of Oil, Electric Potential, Field between Parallel Plates, Identifying Ions, Inkjet Printing","Conservation of Energy, Electric Field, Field Potential, Fields, Kinetic Energy: Linear and Rotational","Field Potential (Electric Potential), Kinetic Energy: Linear and Rotational (Linear Kinetic Energy)",
Properties of an Electric Field,https://isaacphysics.org/questions/e_field_properties,,N,,Physics,4,Fields,Electric Fields,1,N,Y,N,N,Y,N,N,,"Accelerating Particles, Drops of Oil, Field between Parallel Plates, Inkjet Printing, Oil Drop Experiment","Conservation of Energy, Electric Field, Equations of Motion, Field Potential, Fields, Kinetic Energy: Linear and Rotational","Field Potential (Electric Potential), Kinetic Energy: Linear and Rotational (Linear Kinetic Energy)",
Accelerating Particles,https://isaacphysics.org/questions/accelerating_voltage_diff,,N,,Physics,5,Fields,Electric Fields,5,N,N,Y,N,Y,Y,N,,"Accelerating Particles, Drops of Oil, Field between Parallel Plates, Inkjet Printing, Oil Drop Experiment","Conservation of Energy, Electric Field, Equations of Motion, Field Potential, Fields, Kinetic Energy: Linear and Rotational","Field Potential (Electric Potential), Kinetic Energy: Linear and Rotational (Linear Kinetic Energy)",
Aiming an Oscilloscope Beam,https://isaacphysics.org/questions/an_oscilloscope,,N,Y,Physics,5,Fields,Electric Fields,2,N,N,Y,N,Y,Y,Y,,"Field between Parallel Plates, Force in a Uniform E Field","Electric Field, Fields, Force, Work",,
Aiming an Oscilloscope Beam,https://isaacphysics.org/questions/an_oscilloscope_sym,,N,,Physics,5,Fields,Electric Fields,2,N,N,N,Y,Y,Y,Y,,"Electric Potential, Field between Parallel Plates, Ionic Molecule, Ionisation Energy","Conservation of Energy, Electric Field, Fields, Kinetic Energy: Linear and Rotational, Potential Energy",Kinetic Energy: Linear and Rotational (Linear Kinetic Energy),
Aligning Dipoles,https://isaacphysics.org/questions/aligning_dipoles,,N,,Physics,5,Fields,Electric Fields,2,Y,N,Y,N,Y,Y,Y,,Current of an Orbiting Electron,"Circular Kinematics, Electric Field, Fields, Force",Circular Kinematics (Circular Dynamics),
Approaching a Nucleus,https://isaacphysics.org/questions/closest_approach_nucleus,,N,,Physics,5,Fields,Electric Fields,1,N,N,Y,N,Y,Y,Y,,"Approaching a Nucleus, Electrons Orbiting the Earth, Microscopic Current, Orbiting the Moon","Circular Kinematics, Electric Field, Fields, Force",Circular Kinematics (Circular Dynamics),
Current of an Orbiting Electron,https://isaacphysics.org/questions/current_orbiting_electron,,N,,Physics,5,Fields,Electric Fields,1,N,N,N,Y,Y,Y,Y,,"Balancing Forces on an Electron, Charging a Falling Sphere, Oil Drop Experiment","Electric Field, Fields, Force, Gravitational Field, Newton's Second Law",,
Current of an Orbiting Electron,https://isaacphysics.org/questions/current_orbiting_electron_num,,N,Y,Physics,5,Fields,Electric Fields,1,N,N,Y,N,Y,Y,Y,,"Approaching a Nucleus, Electric Potential","Conservation of Energy, Electric Field, Fields, Force, Kinetic Energy: Linear and Rotational, Potential Energy, Work","Kinetic Energy: Linear and Rotational (Linear Kinetic Energy), Potential Energy (Gravitational and Electric PE)",
Drops of Oil,https://isaacphysics.org/questions/drops_of_oil,,N,,Physics,5,Fields,Electric Fields,1,N,Y,N,N,Y,Y,Y,,"A Mass Spectrometer, Accelerating Particles, Aiming an Oscilloscope Beam, Collecting Ions, Corkscrewing Particle, Fire up the Cyclotron!, Semicircular Paths","Electric Field, Equations of Motion, Fields, Force, Newton's Second Law",,
Electrostatic Shield,https://isaacphysics.org/questions/electrostatic_shield,,N,,Physics,5,Fields,Electric Fields,4,N,N,Y,N,Y,Y,Y,,"A Mass Spectrometer, Accelerating Particles, Aiming an Oscilloscope Beam, Collecting Ions, Corkscrewing Particle, Fire up the Cyclotron!, Semicircular Paths","Electric Field, Equations of Motion, Fields, Force, Newton's Second Law",,
Inkjet Printing,https://isaacphysics.org/questions/inkjet_printing,,N,Y,Physics,5,Fields,Electric Fields,1,N,N,Y,N,Y,Y,Y,,"Approaching a Nucleus, Electric Potential, Gradient of Potential Energy, Ionisation Energy","Electric Field, Field Potential, Fields, Potential Energy",,
Inkjet Printing,https://isaacphysics.org/questions/inkjet_printing_sym,,N,,Physics,5,Fields,Electric Fields,1,N,N,N,Y,Y,Y,Y,,"Approaching a Nucleus, Electric Potential, Ionic Molecule","Circular Kinematics, Electric Field, Fields, Force, Potential Energy","Circular Kinematics (Circular Dynamics), Potential Energy (Gravitational and Electric PE)",
Ionic Molecule,https://isaacphysics.org/questions/ionic_molecule_num,,N,,Physics,5,Fields,Electric Fields,3,N,N,Y,N,Y,Y,Y,,"Charged Stars, Estimating Gravity, Field at the Surface of the Earth, Gravitational Field Strength, Mean Density of the Earth, Test Rocket, Two Planets","Fields, Gravitational Field",Field Potential (Gravitational Potential),
